Month,crypto,bitcoin,ethereum
2004-01,0,0,0
2004-02,0,0,0
2004-03,0,0,0
2004-04,0,0,0
2004-05,0,0,0
2004-06,0,0,0
2004-07,0,0,0
2004-08,0,0,0
2004-09,0,0,0
2004-10,0,0,0
2004-11,0,0,0
2004-12,0,0,0
2005-01,0,0,0
2005-02,0,0,0
2005-03,0,0,0
2005-04,0,0,0
2005-05,0,0,0
2005-06,0,0,0
2005-07,0,0,0
2005-08,0,0,0
2005-09,0,0,0
2005-10,0,0,0
2005-11,0,0,0
2005-12,0,0,0
2006-01,0,0,0
2006-02,0,0,0
2006-03,0,0,0
2006-04,0,0,0
2006-05,0,0,0
2006-06,0,0,0
2006-07,0,0,0
2006-08,0,0,0
2006-09,0,0,0
2006-10,0,0,0
2006-11,0,0,0
2006-12,0,0,0
2007-01,0,0,0
2007-02,0,0,0.1
2007-03,0,0,0.1
2007-04,0,0,0.1
2007-05,0,0,0.1
2007-06,0,0,0.1
2007-07,0,0,0.1
2007-08,0,0,0.1
2007-09,0,0,0.1
2007-10,0,0,0.1
2007-11,0,0,0.1
2007-12,0,0,0.1
2008-01,0,0,0.1
2008-02,0,0,0.1
2008-03,0,0,0.1
2008-04,0,0,0.1
2008-05,0,0,0.1
2008-06,0,0,0.1
2008-07,0,0,0.1
2008-08,0,0,0.1
2008-09,0,0,0.1
2008-10,0,0,0.1
2008-11,0,0,0.1
2008-12,0,0,0.1
2009-01,0,0,0.1
2009-02,0,0,0.1
2009-03,0,0,0.1
2009-04,0,0,0.1
2009-05,0,0,0.1
2009-06,0,0,0.1
2009-07,0,0,0.1
2009-08,0,0,0.1
2009-09,0,0,0.1
2009-10,0,0,0.1
2009-11,0,0,0.1
2009-12,0,0,0.1
2010-01,0,0,0.1
2010-02,0,0,0.1
2010-03,0,0,0.1
2010-04,0,0.1,0.1
2010-05,0,0.1,0.1
2010-06,0,0.1,0.1
2010-07,0,0.1,0.1
2010-08,0,0.1,0.1
2010-09,0,0.1,0.1
2010-10,0,0.1,0.1
2010-11,0,0.1,0.1
2010-12,0,0.1,0.1
2011-01,0,0.1,0.1
2011-02,0,0.1,0.1
2011-03,0,0.1,0.1
2011-04,0,0.1,0.1
2011-05,0,1,0.1
2011-06,0.1,3,0.1
2011-07,0,1,0.1
2011-08,0,1,0.1
2011-09,0,1,0.1
2011-10,0,1,0.1
2011-11,0,0.1,0.1
2011-12,0,0.1,0.1
2012-01,0,0.1,0.1
2012-02,0,0.1,0.1
2012-03,0,0.1,0.1
2012-04,0,0.1,0.1
2012-05,0,0.1,0.1
2012-06,0,0.1,0.1
2012-07,0,0.1,0.1
2012-08,0,1,0.1
2012-09,0.1,1,0.1
2012-10,0,0.1,0.1
2012-11,0,1,0.1
2012-12,0,1,0.1
2013-01,0,1,0.1
2013-02,0.1,1,0.1
2013-03,0.1,2,0.1
2013-04,0.1,8,0.1
2013-05,0.1,3,0.1
2013-06,0.1,2,0.1
2013-07,0.1,2,0.1
2013-08,0.1,2,0.1
2013-09,0.1,2,0.1
2013-10,0.1,3,0.1
2013-11,1,11,0.1
2013-12,1,12,0.1
2014-01,1,8,0.1
2014-02,1,9,0.1
2014-03,1,6,0.1
2014-04,1,4,0.1
2014-05,1,3,0.1
2014-06,1,3,0.1
2014-07,1,3,0.1
2014-08,0.1,3,0.1
2014-09,0.1,3,0.1
2014-10,0.1,3,0.1
2014-11,0.1,3,0.1
2014-12,0.1,3,0.1
2015-01,0.1,3,0.1
2015-02,0.1,3,0.1
2015-03,0.1,3,0.1
2015-04,0.1,2,0.1
2015-05,0.1,2,0.1
2015-06,0.1,2,0.1
2015-07,0.1,3,0.1
2015-08,0.1,3,0.1
2015-09,0.1,2,0.1
2015-10,0.1,3,0.1
2015-11,0.1,4,0.1
2015-12,0.1,4,0.1
2016-01,0.1,3,0.1
2016-02,1,3,1
2016-03,1,3,2
2016-04,1,3,1
2016-05,1,4,2
2016-06,1,5,3
2016-07,1,3,2
2016-08,1,3,1
2016-09,1,3,1
2016-10,1,3,1
2016-11,1,4,1
2016-12,1,5,1
2017-01,1,6,1
2017-02,1,6,1
2017-03,2,7,5
2017-04,3,6,4
2017-05,8,15,13
2017-06,15,15,29
2017-07,12,13,17
2017-08,18,21,15
2017-09,20,21,13
2017-10,19,22,12
2017-11,31,46,21
2017-12,92,100,38
2018-01,100,57,38
2018-02,51,41,17
2018-03,29,25,11
2018-04,23,18,9
2018-05,19,14,9
2018-06,16,13,7
2018-07,14,13,5
2018-08,14,13,6
2018-09,13,12,6
2018-10,11,10,4
2018-11,13,14,5
2018-12,10,13,5
2019-01,9,10,4
2019-02,9,10,4
2019-03,8,9,3
2019-04,9,12,4
2019-05,10,17,5
2019-06,13,21,6
2019-07,11,19,8
2019-08,8,16,4
2019-09,7,12,3
2019-10,7,12,3
2019-11,7,12,3
2019-12,6,11,3
2020-01,8,13,4
2020-02,8,14,6
2020-03,9,19,5
2020-04,9,16,5
2020-05,10,20,6
2020-06,8,14,6
2020-07,11,14,8
2020-08,12,16,11
2020-09,10,13,8
2020-10,9,14,6
