Month,bitcoin_trend,bitcoin_price,bitcoin_normalized_trend,bitcoin_peak,bitcoin_trough,bitcoin_norm_peak,bitcoin_norm_trough,bitcoin_pct_change_1m,bitcoin_pct_change_3m,bitcoin_pct_change_6m,bitcoin_positive_trend,bitcoin_negative_trend,bitcoin_bull_1m,bitcoin_bear_1m,bitcoin_bull_3m,bitcoin_bear_3m,bitcoin_bull_6m,bitcoin_bear_6m,ethereum_trend,ethereum_price,ethereum_normalized_trend,ethereum_peak,ethereum_trough,ethereum_norm_peak,ethereum_norm_trough,ethereum_pct_change_1m,ethereum_pct_change_3m,ethereum_pct_change_6m,ethereum_positive_trend,ethereum_negative_trend,ethereum_bull_1m,ethereum_bear_1m,ethereum_bull_3m,ethereum_bear_3m,ethereum_bull_6m,ethereum_bear_6m
2015-04,2.0,239.26000213623047,-2.4748737341529163,False,False,False,True,-7.53826328551106,-7.069418864403431,-32.92129862321798,False,False,False,True,False,False,False,False,0.1,,,False,False,False,False,,,,False,False,False,False,False,False,False,False
2015-05,2.0,235.6264991760254,-1.7638342073763937,False,False,False,True,-1.5186420328359929,-0.658757364560747,-36.93148319499859,False,False,False,True,False,False,False,False,0.1,,,False,False,False,False,,,,False,False,False,False,False,False,False,False
2015-07,3.0,278.97350311279297,0.5838742081211427,False,False,True,False,13.580697775078043,16.59847054333399,8.355636271137667,False,False,True,False,False,False,False,False,0.1,,,False,False,False,False,,,,False,False,False,False,False,False,False,False
2015-09,2.0,237.65375137329104,-1.3540064007726598,False,False,False,True,-4.94078106920437,-3.242140889166434,-8.158996938500785,False,False,False,True,False,False,False,False,0.1,,,False,False,False,False,,,,False,False,False,False,False,False,False,False
2015-11,4.0,372.2212600708008,2.0109991663496096,False,False,True,False,32.94150730468952,48.884930481023446,57.970882465444575,False,False,True,False,False,False,False,False,0.1,,,False,False,False,False,,,,False,False,False,False,False,False,False,False
2015-12,4.0,406.63724517822266,1.6254712740448838,False,False,True,False,9.246109451371897,71.10491327338795,65.55745091677866,False,False,True,False,True,False,False,False,0.1,,,False,False,False,False,,,,False,False,False,False,False,False,False,False
2016-04,3.0,437.21849822998047,0.12464639250231777,False,False,False,True,3.5857820486543623,8.133003562889929,56.155739640262325,False,False,True,False,True,False,False,False,1.0,,0.9704117340059144,False,False,False,True,,,,False,False,False,False,False,False,False,False
2016-06,5.0,627.0174865722656,2.140872096444188,False,False,True,False,27.234463289737466,48.552947708551656,54.19578359022519,False,False,True,False,True,False,False,False,3.0,,2.169187439955308,False,False,True,False,,,,False,False,False,False,False,False,False,False
2016-09,3.0,596.2274932861328,-0.6232319625115875,False,False,False,True,1.1615135634228446,-4.910547783037655,41.25818422821228,False,False,True,False,False,False,False,False,1.0,,-0.12189466158754322,False,False,False,False,,,,False,False,False,False,False,False,False,False
2016-12,5.0,858.8079986572266,1.8803495115840256,False,False,True,False,19.220066867897213,44.04032157656306,36.96715275870481,False,False,True,False,True,False,False,False,1.0,,-0.44760834075697065,False,False,False,False,,,,False,False,False,False,False,False,False,False
2017-01,6.0,970.229248046875,2.1321159366570424,False,False,True,False,12.973941738299954,46.9609009005844,48.46671353970922,False,False,True,False,True,False,False,False,1.0,,-0.6232319625115879,False,False,False,True,,,,False,False,False,False,False,False,False,False
2017-02,6.0,1074.4979858398438,1.6583123951776997,False,False,True,False,10.746814528923698,49.16223640387389,82.30934298134285,False,False,True,False,True,False,True,False,1.0,,-0.6232319625115879,False,False,False,False,,,,False,False,False,False,False,False,False,False
2017-03,7.0,1108.9632873535156,1.8576814560512958,False,False,True,False,3.2075724634079483,29.12819734881542,85.9966707072527,False,False,True,False,True,False,True,False,5.0,,2.70801280154532,False,False,True,False,,,,False,False,False,False,False,False,False,False
