Month,bitcoin_trend,bitcoin_price,bitcoin_normalized_trend,bitcoin_peak,bitcoin_trough,bitcoin_norm_peak,bitcoin_norm_trough,bitcoin_pct_change_1m,bitcoin_pct_change_3m,bitcoin_pct_change_6m,bitcoin_positive_trend,bitcoin_negative_trend,bitcoin_bull_1m,bitcoin_bear_1m,bitcoin_bull_3m,bitcoin_bear_3m,bitcoin_bull_6m,bitcoin_bear_6m,ethereum_trend,ethereum_price,ethereum_normalized_trend,ethereum_peak,ethereum_trough,ethereum_norm_peak,ethereum_norm_trough,ethereum_pct_change_1m,ethereum_pct_change_3m,ethereum_pct_change_6m,ethereum_positive_trend,ethereum_negative_trend,ethereum_bull_1m,ethereum_bear_1m,ethereum_bull_3m,ethereum_bear_3m,ethereum_bull_6m,ethereum_bear_6m
2016-02,3.0,405.7624969482422,0.23221018200641177,False,False,False,False,0.3532963628453123,9.011101856745496,62.30110321601321,False,False,True,False,False,False,False,False,1.0,,3.1754264805429417,False,False,True,False,,,,False,False,False,False,False,False,False,False
2016-03,3.0,422.0835037231446,0.23221018200641177,False,False,False,False,4.022305387425762,3.7985351140553014,77.60439348595145,False,False,True,False,False,False,False,False,2.0,,2.848173870268498,False,False,True,False,,,,False,False,False,False,False,False,False,False
2016-04,3.0,437.21849822998047,0.12464639250231777,False,False,False,True,3.5857820486543623,8.133003562889929,56.155739640262325,False,False,True,False,True,False,False,False,1.0,,0.9704117340059144,False,False,False,True,,,,False,False,False,False,False,False,False,False
2016-05,4.0,492.8047561645508,1.3711103175254928,False,False,False,False,12.71361073687498,21.451528879814497,32.395649853749255,False,False,True,False,True,False,False,False,2.0,,1.9050910417170486,False,False,True,False,,,,False,False,False,False,False,False,False,False
2016-06,5.0,627.0174865722656,2.140872096444188,False,False,True,False,27.234463289737466,48.552947708551656,54.19578359022519,False,False,True,False,True,False,False,False,3.0,,2.169187439955308,False,False,True,False,,,,False,False,False,False,False,False,False,False
2017-01,6.0,970.229248046875,2.1321159366570424,False,False,True,False,12.973941738299954,46.9609009005844,48.46671353970922,False,False,True,False,True,False,False,False,1.0,,-0.6232319625115879,False,False,False,True,,,,False,False,False,False,False,False,False,False
2017-03,7.0,1108.9632873535156,1.8576814560512958,False,False,True,False,3.2075724634079483,29.12819734881542,85.9966707072527,False,False,True,False,True,False,True,False,5.0,,2.70801280154532,False,False,True,False,,,,False,False,False,False,False,False,False,False
2017-04,6.0,1207.1499938964844,0.9814954576223638,False,False,False,True,8.853918579873499,24.419048006081432,82.84735384166788,False,False,True,False,True,False,True,False,4.0,,1.5108065794747947,False,False,True,True,,,,False,False,False,False,False,False,False,False
2017-05,15.0,1936.6799926757812,2.864357773488754,False,False,True,False,60.43408047615462,80.24044886059447,168.85068442484337,False,False,True,False,True,False,True,False,13.0,,2.9165093176889134,False,False,True,False,,,,False,False,False,False,False,False,False,False
2017-06,15.0,2495.510009765625,2.019097418641535,True,False,True,False,28.85505190342499,125.03089491096074,190.5783380764308,False,False,True,False,True,False,True,False,29.0,,2.883567344440088,False,False,True,False,,,,False,False,False,False,False,False,False,False
2017-10,22.0,5360.982421875,1.4819179329824614,False,True,False,True,26.422388200368907,111.74776871226419,344.1024271201475,False,False,True,False,True,False,True,False,12.0,,0.30576575328694694,False,False,False,True,,,,False,False,False,False,False,False,False,False
2017-12,100.0,13534.66259765625,2.882089366999833,True,False,True,False,60.596489398977724,219.17365781689347,442.36058139183376,False,False,True,False,True,False,True,False,38.0,624.5742416381836,2.1314991921145823,False,False,True,False,58.86329993474442,,,False,False,True,False,False,False,False,False
2018-01,57.0,12861.99755859375,1.0673123629104848,False,False,False,False,-4.96994316784064,139.9186668867173,408.0224238568337,False,False,False,True,False,False,False,False,38.0,1012.2377777099608,1.6899749369357286,False,False,True,False,62.06844762841677,,,False,False,True,False,False,False,False,False
2019-03,9.0,3997.429443359375,-1.3852616257190227,False,True,False,True,7.1912591587731445,4.728054529426817,-41.335743085964296,True,False,True,False,False,False,False,False,3.0,138.3415699005127,-1.339450495795093,False,False,False,True,7.999593617622702,13.565868848242246,-43.97680927358406,False,False,True,False,True,False,False,False
2019-07,19.0,10793.8056640625,1.4827267319196749,True,False,False,False,5.946336642705452,124.92912048915237,193.42262269440508,True,False,True,False,True,False,True,False,8.0,255.28404235839844,2.2248595461287572,False,False,True,False,-11.188981140983556,62.408135271262786,102.34922338364689,False,False,False,True,False,False,False,False
2019-09,12.0,9163.495361328123,-0.4064609668307709,False,False,False,False,-11.471420441182968,-10.05593443214342,129.23469922779353,False,True,False,True,False,False,False,False,3.0,183.08315658569336,-1.148213000400873,False,False,False,True,-8.138249107597883,-36.30701895000234,32.341390022793746,False,False,False,True,False,True,False,False
2020-02,14.0,9224.1064453125,0.0,False,False,False,False,11.76148306913043,12.195476414458263,-10.88585642231502,True,False,True,False,False,False,False,False,6.0,216.7077865600586,1.0324202016951516,False,False,True,False,39.24073728612427,30.60724990282391,8.732868040246311,False,False,True,False,False,False,False,False
2020-04,16.0,7684.7242431640625,0.25057012616801994,False,False,False,True,8.567833022595917,-6.890040408220843,-12.094306040604074,True,False,True,False,False,False,False,False,5.0,174.6187515258789,0.26636334658609406,False,False,False,True,-0.004872482246376375,12.197369981015903,-2.662687317186563,False,False,False,True,False,False,False,False
2020-07,14.0,10215.5830078125,-0.14655259544014285,False,False,False,False,8.168112724525,32.93363150798494,23.774450580969386,True,False,True,False,True,False,False,False,8.0,286.2112731933594,2.064840403390302,False,False,True,False,23.251388678528674,63.906379293372865,83.89864679827276,False,False,True,False,True,False,False,False
2020-08,16.0,11593.715576171877,0.5568998626725438,True,False,True,False,13.490493565618644,27.03733779370687,25.68930817210553,True,False,True,False,True,False,False,False,11.0,392.2608871459961,2.3791817577847993,False,False,True,False,37.05291296509885,81.67774357473579,81.00913371531509,False,False,True,False,True,False,False,False
2020-10,14.0,12255.288330078123,-0.2492927850046458,False,True,False,False,10.290305740071526,19.966607101187783,59.47596741652508,True,False,True,False,False,False,False,False,6.0,375.3966751098633,0.03663493014041895,False,False,False,True,-6.080306541218206,31.16068801952878,114.98073478908628,False,False,False,True,False,False,False,False
2020-11,24.0,16599.813720703125,2.2821773229382436,False,False,True,False,35.45020952271065,43.17941139439449,81.89131250413817,True,False,True,False,False,False,False,False,12.0,498.47975158691406,1.994342280037093,False,False,True,False,32.78747113064584,27.078627495528053,130.87358299961915,False,False,True,False,False,False,False,False
2020-12,31.0,23874.97509765625,2.507878741548929,False,False,True,False,43.82676516351274,114.8605754623087,152.801136820434,True,False,True,False,True,False,False,False,15.0,660.0438385009766,2.196010876137907,False,False,True,False,32.411364032284574,65.13496014110174,184.23520421221264,False,False,True,False,False,False,False,False
2021-01,65.0,33194.4658203125,2.9617863157975233,False,False,True,False,39.03455683005559,170.8583015451657,224.93951441563934,True,False,True,False,True,False,False,False,48.0,1059.6472473144531,3.0645975913386803,False,False,True,False,60.54194971670588,182.27400975363932,270.23253329318504,False,False,True,False,True,False,False,False
