Coin,Window (months),Analysis Type,Peak → Bear Market Rate (%),Peak → >10% Price Drop Rate (%),Trough → Bull Market Rate (%),Trough → >10% Price Rise Rate (%),Peak Count,Trough Count,Peak Bear Market Months,Trough Bull Market Months
bitcoin,1,Original,60.0,20.0,70.0,60.0,10,10,2017-12; 2021-05; 2022-01; 2022-06; 2022-11; 2024-03,2019-03; 2019-12; 2020-09; 2021-03; 2021-09; 2023-09; 2024-09
bitcoin,3,Original,10.0,30.0,40.0,50.0,10,10,2017-12,2019-03; 2020-09; 2023-09; 2024-09
bitcoin,6,Original,0.0,40.0,20.0,70.0,10,10,,2020-09; 2023-09
ethereum,1,Original,58.333333333333336,16.666666666666664,63.63636363636363,54.54545454545454,12,11,2019-07; 2021-05; 2021-11; 2022-01; 2022-06; 2024-03; 2024-12,2019-03; 2020-10; 2021-03; 2021-07; 2021-09; 2023-09; 2024-10
ethereum,3,Original,25.0,25.0,36.36363636363637,63.63636363636363,12,11,2019-07; 2021-11; 2024-12,2019-03; 2020-10; 2021-07; 2023-09
ethereum,6,Original,0.0,50.0,18.181818181818183,45.45454545454545,12,11,,2020-10; 2023-09
bitcoin,1,Normalized,23.333333333333332,6.666666666666667,71.42857142857143,61.904761904761905,30,21,2015-07; 2015-12; 2017-12; 2020-08; 2022-01; 2022-06; 2024-03,2015-05; 2015-09; 2016-04; 2016-09; 2017-04; 2017-07; 2017-10; 2019-03; 2019-12; 2020-04; 2020-06; 2020-09; 2023-09; 2024-02; 2024-09
bitcoin,3,Normalized,3.3333333333333335,10.0,47.61904761904761,66.66666666666666,30,21,2017-12,2015-09; 2016-04; 2016-09; 2017-04; 2017-07; 2019-03; 2020-04; 2020-09; 2023-09; 2024-09
bitcoin,6,Normalized,0.0,13.333333333333334,19.047619047619047,85.71428571428571,30,21,,2016-09; 2017-04; 2020-09; 2023-09
ethereum,1,Normalized,30.76923076923077,11.538461538461538,53.333333333333336,46.666666666666664,26,15,2018-01; 2019-07; 2020-02; 2021-05; 2022-06; 2022-09; 2023-04; 2024-03,2019-03; 2020-04; 2020-10; 2021-03; 2022-07; 2022-12; 2023-09; 2024-10
ethereum,3,Normalized,11.538461538461538,15.384615384615385,33.33333333333333,46.666666666666664,26,15,2018-01; 2019-07; 2022-09,2019-03; 2020-04; 2020-10; 2022-12; 2023-09
ethereum,6,Normalized,0.0,19.230769230769234,13.333333333333334,46.666666666666664,26,15,,2020-10; 2023-09
