Coin,Signal Type,Analysis Type,Month,Window (months),Trend Value,Price,Future Price,Price Change (%),Followed by Negative Trend,Price Drop > 10%,Followed by Positive Trend,Price Rise > 10%
bitcoin,Peak,Original,2017-06,1,15.0,2495.510009765625,2531.7775268554688,1.4533108241569404,False,False,,
bitcoin,Peak,Original,2017-06,3,15.0,2495.510009765625,4240.532470703125,69.92648613344534,False,False,,
bitcoin,Peak,Original,2017-06,6,15.0,2495.510009765625,13534.66259765625,442.36058139183376,False,False,,
bitcoin,Peak,Original,2017-12,1,100.0,13534.66259765625,12861.99755859375,-4.969943167840645,False,False,,
bitcoin,Peak,Original,2017-12,3,100.0,13534.66259765625,8936.639892578125,-33.972200429099345,False,True,,
bitcoin,Peak,Original,2017-12,6,100.0,13534.66259765625,6871.5001220703125,-49.230355226880754,True,True,,
bitcoin,Peak,Original,2019-07,1,19.0,10793.8056640625,10350.889404296877,-4.103430000044315,False,False,,
bitcoin,Peak,Original,2019-07,3,19.0,10793.8056640625,8742.009643554688,-19.00901391377813,True,True,,
bitcoin,Peak,Original,2019-07,6,19.0,10793.8056640625,8253.385864257812,-23.535904562955984,True,True,,
bitcoin,Peak,Original,2020-08,1,16.0,11593.715576171877,11111.845458984377,-4.156304456682285,False,False,,
bitcoin,Peak,Original,2020-08,3,16.0,11593.715576171877,16599.813720703125,43.17941139439449,False,False,,
bitcoin,Peak,Original,2020-08,6,16.0,11593.715576171877,42241.78662109375,264.35072383448573,False,False,,
bitcoin,Peak,Original,2021-02,1,68.0,42241.78662109375,52719.3232421875,24.803725076963755,False,False,,
bitcoin,Peak,Original,2021-02,3,68.0,42241.78662109375,46312.0927734375,9.635733897465435,False,False,,
bitcoin,Peak,Original,2021-02,6,68.0,42241.78662109375,44141.9033203125,4.498192077581095,False,False,,
bitcoin,Peak,Original,2021-05,1,66.0,46312.0927734375,35630.8798828125,-23.063550470237562,False,True,,
bitcoin,Peak,Original,2021-05,3,66.0,46312.0927734375,44141.9033203125,-4.686010333719407,False,False,,
bitcoin,Peak,Original,2021-05,6,66.0,46312.0927734375,60171.31640625,29.92571227694879,False,False,,
bitcoin,Peak,Original,2021-08,1,32.0,44141.9033203125,45883.0107421875,3.944341523383758,False,False,,
bitcoin,Peak,Original,2021-08,3,32.0,44141.9033203125,60171.31640625,36.313370924722555,False,False,,
bitcoin,Peak,Original,2021-08,6,32.0,44141.9033203125,40448.84765625,-8.366326293780563,True,False,,
bitcoin,Peak,Original,2021-11,1,34.0,60171.31640625,51282.677734375,-14.772219061758364,False,True,,
bitcoin,Peak,Original,2021-11,3,34.0,60171.31640625,40448.84765625,-32.777193400328244,True,True,,
bitcoin,Peak,Original,2021-11,6,34.0,60171.31640625,33939.75390625,-43.59479577095529,True,True,,
bitcoin,Peak,Original,2022-01,1,43.0,41465.083984375,40448.84765625,-2.4508242368638187,True,False,,
bitcoin,Peak,Original,2022-01,3,43.0,41465.083984375,42070.1142578125,1.4591319136492993,True,False,,
bitcoin,Peak,Original,2022-01,6,43.0,41465.083984375,21674.224609375,-47.72897453302555,True,True,,
bitcoin,Peak,Original,2022-06,1,42.0,25310.79736328125,21674.224609375,-14.367673612613565,True,True,,
bitcoin,Peak,Original,2022-06,3,42.0,25310.79736328125,20111.60546875,-20.541399071345715,True,True,,
bitcoin,Peak,Original,2022-06,6,42.0,25310.79736328125,17108.04150390625,-32.408128995868225,True,True,,
bitcoin,Peak,Original,2024-03,1,43.0,66393.9228515625,65951.44140625,-0.6664487144429767,False,False,,
bitcoin,Peak,Original,2024-03,3,43.0,66393.9228515625,65169.36328125,-1.8443850245906679,False,False,,
bitcoin,Peak,Original,2024-03,6,43.0,66393.9228515625,60344.673828125,-9.111148676908067,True,False,,
bitcoin,Peak,Original,2024-12,1,41.0,97369.029296875,98551.27734375,1.2141931119292195,False,False,,
bitcoin,Peak,Original,2024-12,3,41.0,97369.029296875,84647.6171875,-13.0651524424546,True,True,,
bitcoin,Trough,Original,2017-10,1,22.0,5360.982421875,8427.744995117188,57.20523463625887,,,False,True
bitcoin,Trough,Original,2017-10,3,22.0,5360.982421875,12861.99755859375,139.9186668867173,,,False,True
bitcoin,Trough,Original,2017-10,6,22.0,5360.982421875,8128.9500732421875,51.63172406745353,,,True,True
bitcoin,Trough,Original,2019-03,1,9.0,3997.429443359375,4798.7586669921875,20.046113008048202,,,True,True
bitcoin,Trough,Original,2019-03,3,9.0,3997.429443359375,10187.993286132812,154.8636174944213,,,True,True
bitcoin,Trough,Original,2019-03,6,9.0,3997.429443359375,9163.495361328123,129.2346992277935,,,True,True
bitcoin,Trough,Original,2019-10,1,12.0,8742.009643554688,8221.460205078125,-5.954574059070655,,,False,False
bitcoin,Trough,Original,2019-10,3,12.0,8742.009643554688,8253.385864257812,-5.589375889754683,,,False,False
bitcoin,Trough,Original,2019-10,6,12.0,8742.009643554688,7684.7242431640625,-12.09430604060407,,,True,False
bitcoin,Trough,Original,2020-10,1,14.0,12255.288330078123,16599.813720703125,35.45020952271065,,,True,True
bitcoin,Trough,Original,2020-10,3,14.0,12255.288330078123,33194.4658203125,170.85830154516563,,,True,True
bitcoin,Trough,Original,2020-10,6,14.0,12255.288330078123,57174.830078125,366.5319047435299,,,True,True
bitcoin,Trough,Original,2021-03,1,47.0,52719.3232421875,57174.830078125,8.451373352175501,,,True,False
bitcoin,Trough,Original,2021-03,3,47.0,52719.3232421875,35630.8798828125,-32.414003648856294,,,True,False
bitcoin,Trough,Original,2021-03,6,47.0,52719.3232421875,45883.0107421875,-12.967375299175671,,,True,False
bitcoin,Trough,Original,2021-07,1,33.0,37064.67041015625,44141.9033203125,19.094282592668048,,,False,True
