Month,Coin,Signal Type,Analysis Type,Trend Value,Price,1m_change,1m_bear,1m_drop10,3m_change,3m_bear,3m_drop10,6m_change,6m_bear,6m_drop10,1m_bull,1m_rise10,3m_bull,3m_rise10,6m_bull,6m_rise10
2015-04-01,bitcoin,Trough,Normalized,-2.4748737341529163,239.26000213623047,-1.5186420328359878,,,16.598470543333995,,,17.02279701713189,,,False,False,False,True,False,True
2015-05-01,bitcoin,Trough,Normalized,-1.7638342073763937,235.6264991760254,4.239973618733432,,,6.1026673116384895,,,57.97088246544456,,,False,False,False,False,False,True
2015-07-01,bitcoin,Peak,Normalized,0.5838742081211427,278.97350311279297,-10.383603557604596,False,True,0.36392113191587233,False,False,44.936345252226715,False,False,,,,,,
2015-09-01,bitcoin,Trough,Normalized,-1.3540064007726598,237.65375137329104,17.813729017590095,,,71.10491327338795,,,77.60439348595145,,,False,True,False,True,False,True
2015-11-01,bitcoin,Peak,Normalized,2.0109991663496096,372.2212600708008,9.246109451371895,False,False,9.011101856745494,False,False,32.395649853749255,False,False,,,,,,
2015-12-01,bitcoin,Peak,Normalized,1.6254712740448838,406.63724517822266,-0.5664128339803497,False,False,3.7985351140553005,False,False,54.19578359022519,False,False,,,,,,
2016-04-01,bitcoin,Trough,Normalized,0.12464639250231777,437.21849822998047,12.713610736874973,,,49.46748922206031,,,50.99898523922942,,,False,True,False,True,False,True
2016-06-01,bitcoin,Peak,Normalized,2.140872096444188,627.0174865722656,4.22349068624137,False,False,-4.9105477830376545,False,False,36.96715275870483,False,False,,,,,,
2016-09-01,bitcoin,Trough,Normalized,-0.6232319625115875,596.2274932861328,10.728791114071848,,,44.040321576563045,,,85.9966707072527,,,False,True,False,True,False,True
2016-12-01,bitcoin,Peak,Normalized,1.8803495115840256,858.8079986572266,12.973941738299954,False,False,29.12819734881542,False,False,190.57833807643078,False,False,,,,,,
2017-01-01,bitcoin,Peak,Normalized,2.1321159366570424,970.229248046875,10.746814528923702,False,False,24.41904800608144,False,False,160.9463208774706,False,False,,,,,,
2017-02-01,bitcoin,Peak,Normalized,1.6583123951776997,1074.4979858398438,3.207572463407949,False,False,80.24044886059447,False,False,248.5192684288033,False,False,,,,,,
